Item Name,Price
Quantaray 500mm f8 MC Mirror Lens for Minolta MD Mount ,HKD 784.46
MINOLTA MD Tokina 500mm F8 Mirror ===Mint===,"HKD 1,268.04"
:Starblitz 500mm F8 Mirror Reflex Minolta MD Mount Lens w Case,"HKD 1,059.04"
Tokina Minolta MD 8/500 500 500mm f8 8 Adapt. EOS a7 NEX MFT Mirror Mirror/18,"HKD 1,427.91"
Minolta Cambron 500mm f8 Mirror Reflex Macro manual focus lens (Japan) -Mint-!,HKD 588.40
walimex 500mm f/8.0 Tele Mirror Lens for Minolta MD,"HKD 1,350.33"
Quantaray 500mm f8 MC Mirror Lens for Minolta MD Mount EUC Clear & Clean,HKD 196.06
New ListingMinolta MD 500mm 1:8 RF Lens Mirror Lens Full Set,"HKD 2,245.20"
Tokina RMC 500mm f/8 Mirror Lens Minolta MD Mount,HKD 384.42
MINOLTA RF ROKKOR 500MM F/8 MIRROR LENS MD/MC MOUNT LENS FromJapan #375315,"HKD 1,803.65"
Minolta 500mm f/ 8 Mirror RF Rokkor MD Minolta Mount Lens Made In Japan,"HKD 1,639.68"
*N.MINT+++* MINOLTA NEW RF 500mm F/8 Reflex Mirror Lens MD Mount From JAPAN #731,"HKD 2,275.07"
Exc Minolta Mirror Reflex RF ROKKOR 500mm f/8 Manual Focus lens Minolta MD mount,"HKD 2,353.61"
*Exc+++++* Minolta New RF 500mm f/8 Reflex Mirror Lens MD Mount  From Japan,"HKD 2,078.94"
RARE MINOLTA RF ROKKOR 500mm F8 mirror lens made in Japan,"HKD 1,969.18"
Minolta RF Rokkor 500mm F/8 Mirror Reflex Lens SN1213955 for SR Mount from Japan,"HKD 1,528.27"
"Minolta MD Soligor 8,8 500mm Mirror Telephoto Rare Top Condition NEX/OMD/a7/NX",HKD 883.80
GENUINE Minolta AF Reflex 500mm F8 Mirror Lens for Minolta Maxxum Sony Alpha,"HKD 3,648.09"
Minolta AF 500mm f8 Reflex Mirror f. Sony Alpha,"HKD 3,560.62"
Minolta Maxxum 500mm f8 I Reflex Mirror Lens 500/8 Sony                     #004,"HKD 2,714.49"
Phoenix Samyang Mirror 500mm 8.0 lens with Minolta mount.,HKD 549.17
